"name","type","breed","color","sex","size","date_of_birth","impound_number","kennel_number","animal_id","intake_date","outcome_date","days_in_shelter","intake_type","intake_subtype","outcome_type","outcome_subtype","intake_condition","outcome_condition","intake_jurisdiction","outcome_jurisdiction","outcome_zip_code","location","sex_clean"
"*CHUCK","CAT","DOMESTIC SH","BRN TABBY","Neutered","KITTN",2016-04-09,"K16-019382","LOBBY","A338653",2016-06-22,2016-06-25,3,"STRAY","OVER THE COUNTER","ADOPTION","WALKIN","HEALTHY","HEALTHY","COUNTY","WINDSOR",95492,"95492
(38.541541, -122.809202)","Male"
"","CAT","DOMESTIC SH","BRN TABBY","Male","SMALL",NA,"K17-025134","SMM","A360517",2017-08-31,2017-09-08,8,"STRAY","OVER THE COUNTER","EUTHANIZE","ILL SEVERE","UNTREATABLE","UNTREATABLE","WINDSOR",NA,NA,NA,"Male"
"*SARABI","DOG","CHIHUAHUA LH","TRICOLOR","Spayed","TOY",2013-01-08,"K14-012250","DA02","A315360",2014-12-30,2015-01-13,14,"STRAY","OVER THE COUNTER","TRANSFER","GREEN DOG","HEALTHY","HEALTHY","SANTA ROSA","WINDSOR",95492,"95492
(38.541541, -122.809202)","Female"
"BOOTS","CAT","DOMESTIC SH","BLACK/WHITE","Spayed","SMALL",2015-10-15,"K17-025691","CA03","A362485",2017-10-11,2017-10-15,4,"STRAY","OVER THE COUNTER","RETURN TO OWNER","OVER THE COUNTER_MCHIP","UNKNOWN","HEALTHY","COUNTY","WINDSOR",95492,"95492
(38.541541, -122.809202)","Female"
"*DAFFODIL","CAT","DOMESTIC SH","SLVR TABBY","Spayed","KITTN",2014-07-06,"K14-011084","WESTFARM","A312400",2014-10-02,2014-10-14,12,"TRANSFER","MUN_SHELT","ADOPTION","WESTFARM","HEALTHY","HEALTHY","OUT OF COUNTY","SANTA ROSA",95404,"95404
(38.458384, -122.675588)","Female"
"TILLY","CAT","DOMESTIC SH","BRN TABBY/WHITE","Spayed","SMALL",NA,"K17-025900","CS05","A362699",2017-10-18,2017-10-31,13,"STRAY","OVER THE COUNTER","RETURN TO OWNER","OVER THE COUNTER_WEB","UNKNOWN","PENDING","WINDSOR","WINDSOR",95492,"95492
(38.541541, -122.809202)","Female"
"MILO","DOG","PARSON RUSS TER/MIX","WHITE/BROWN","Neutered","SMALL",2007-05-16,"K17-023160","DS59","A292045",2017-04-17,2017-04-18,1,"STRAY","FIELD","RETURN TO OWNER","FLD_MCHIP","TREATABLE/REHAB","HEALTHY","COUNTY","SANTA ROSA",95407,"95407
(38.403734, -122.736775)","Male"
"MARY JANE","DOG","PIT BULL","GRAY","Spayed","LARGE",2009-04-01,"K14-012136","DS76","A307912",2014-12-18,2014-12-19,1,"STRAY","FIELD","RETURN TO OWNER","OVER THE COUNTER_MCHIP","HEALTHY","HEALTHY","SANTA ROSA","SANTA ROSA",95401,"95401
(38.446019, -122.766748)","Female"
"GEORGIE","DOG","ROTTWEILER","BLACK/TAN","Male","LARGE",2014-05-24,"K17-024849","DQ115","A356773",2017-08-15,2017-08-16,1,"CONFISCATE","FLD_ARREST","RETURN TO OWNER","OVER THE COUNTER_ARREST","HEALTHY","HEALTHY","SANTA ROSA","SANTA ROSA",95401,"95401
(38.446019, -122.766748)","Male"
"*SPARKY","DOG","DACHSHUND/MIX","RED MERLE/WHITE","Neutered","SMALL",2014-09-21,"K17-025266","TX","A360791",2017-09-11,2017-09-22,11,"STRAY","FIELD","TRANSFER","PETALUMAAS","HEALTHY","HEALTHY","SANTA ROSA","*PETALUMA",94952,"94952
(38.236012, -122.730241)","Male"
"IVY","CAT","DOMESTIC SH","BLUE CREAM","Female","SMALL",2006-05-03,"K16-018707","CA02","A336541",2016-05-03,2016-05-04,1,"OWNER SURRENDER","OVER THE COUNTER","TRANSFER","PETALUMAAS","HEALTHY","HEALTHY","SANTA ROSA","*PETALUMA",94952,"94952
(38.236012, -122.730241)","Male"
"","CAT","DOMESTIC SH","BLACK/WHITE","Neutered","SMALL",1997-01-31,"K14-007522","SMM","A302173",2014-01-30,2014-02-11,12,"TRANSFER","VET_HOSP","EUTHANIZE","ILL SEVERE","TREATABLE/MANAGEABLE","TREATABLE/MANAGEABLE","SANTA ROSA",NA,NA,NA,"Male"
"DRACO","DOG","CHIHUAHUA LH","BROWN","Neutered","SMALL",2013-08-04,"K15-015011","DA48","A324493",2015-07-19,2015-08-15,27,"STRAY","FIELD","ADOPTION","WALKIN","HEALTHY","HEALTHY","SANTA ROSA","SANTA ROSA",95404,"95404
(38.458384, -122.675588)","Male"
"KAYLEE","DOG","BOXER","BR BRINDLE","Spayed","LARGE",2012-12-09,"K14-011991","DS78","A314701",2014-12-06,2014-12-09,3,"STRAY","OVER THE COUNTER","RETURN TO OWNER","OVER THE COUNTER_PRVS","TREATABLE/REHAB","TREATABLE/REHAB","WINDSOR","WINDSOR",95492,"95492
(38.541541, -122.809202)","Female"
"BELLA","DOG","PIT BULL","FAWN/WHITE","Spayed","SMALL",2017-01-05,"K17-023645","DA08","A353278",2017-05-26,2017-06-09,14,"STRAY","FIELD","ADOPTION","WALKIN","HEALTHY","HEALTHY","SANTA ROSA","SANTA ROSA",95405,"95405
(38.439152, -122.672541)","Female"
"","CAT","DOMESTIC SH","AGOUTI","Unknown","SMALL",NA,"K16-020571","CS06","A341852",2016-09-01,2016-09-06,5,"STRAY","COMM CAT","TRANSFER","FORGOTTEN","HEALTHY","TREATABLE/MANAGEABLE","COUNTY","SANTA ROSA",95403,"95403
(38.486997, -122.749134)","Male"
"ANNA","CAT","DOMESTIC SH","BLUE CREAM/CALICO","Spayed","KITTN",2014-05-02,"K14-011079","DEBBIES","A312395",2014-10-02,2014-10-09,7,"TRANSFER","MUN_SHELT","ADOPTION","DEBBIE BTQ","HEALTHY","HEALTHY","OUT OF COUNTY","*HEALDSBURG",95448,"95448
(38.618857, -122.861927)","Female"
"MONTY","CAT","DOMESTIC SH","GRAY","Neutered","SMALL",2007-04-12,"K14-008438","CS06","A305314",2014-04-12,2014-04-19,7,"OWNER SURRENDER","OVER THE COUNTER","RETURN TO OWNER","RETURN TO OWNER","TREATABLE/MANAGEABLE","TREATABLE/MANAGEABLE","WINDSOR","WINDSOR",95492,"95492
(38.541541, -122.809202)","Male"
"PANSY","CAT","DOMESTIC SH","BLUE CREAM/CALICO","Spayed","KITTN",2014-04-08,"K14-009697","49ERPET","A308843",2014-07-08,2014-07-26,18,"OWNER SURRENDER","OVER THE COUNTER","ADOPTION","49ER PET","HEALTHY","HEALTHY","COUNTY","COUNTY",95472,"95472
(38.394388, -122.850998)","Female"
"*RALPHIE","CAT","DOMESTIC SH","BLACK/WHITE","Neutered","KITTN",2014-08-01,"K14-011851","WESTFARM","A314335",2014-11-26,2014-12-13,17,"OWNER SURRENDER","OVER THE COUNTER","ADOPTION","WESTFARM","HEALTHY","HEALTHY","COUNTY","COUNTY",95403,"95403
(38.486997, -122.749134)","Male"
"*MARTHA","CAT","DOMESTIC SH","BRN TABBY/WHITE","Spayed","SMALL",2014-07-11,"K17-024141","CA02","A354498",2017-06-27,2017-08-08,42,"STRAY","OVER THE COUNTER","ADOPTION","WALKIN","HEALTHY","HEALTHY","COUNTY","COUNTY",95403,"95403
(38.486997, -122.749134)","Female"
"COLT","DOG","SHETLD SHEEPDOG","SABLE/WHITE","Male","SMALL",2014-06-17,"K14-011733","DS86","A313905",2014-11-17,2014-11-18,1,"CONFISCATE","OVER THE COUNTER_ARREST","RETURN TO OWNER","OVER THE COUNTER_PRVS","HEALTHY","HEALTHY","COUNTY","OUT OF COUNTY",94945,"94945
(38.117407, -122.559327)","Male"
"*MIKE","CAT","DOMESTIC MH","ORG TABBY","Neutered","KITTN",2015-05-30,"K15-015172","LOBBY","A324781",2015-07-30,2015-08-01,2,"STRAY","COMM CAT","ADOPTION","WALKIN","HEALTHY","HEALTHY","COUNTY","COUNTY",95448,"95448
(38.618857, -122.861927)","Male"
"TUNDRA","CAT","DOMESTIC LH","GRAY TABBY","Spayed","KITTN",2014-05-14,"K14-009995","LOBBY","A309459",2014-07-26,2014-08-19,24,"STRAY","COMM CAT","ADOPTION","INTERNET","HEALTHY","HEALTHY","COUNTY","SANTA ROSA",95401,"95401
(38.446019, -122.766748)","Female"
"DENISA","CAT","DOMESTIC SH","BRN TABBY","Spayed","KITTN",2016-04-15,"K16-019712","CS04","A339432",2016-07-09,2016-07-23,14,"OWNER SURRENDER","OVER THE COUNTER","ADOPTION","SPEC EVENT","HEALTHY","HEALTHY","SANTA ROSA","SANTA ROSA",95405,"95405
(38.439152, -122.672541)","Female"
"*JANE","CAT","DOMESTIC LH","TORTIE","Spayed","SMALL",2012-07-06,"K15-014560","CS05","A323198",2015-06-23,2015-07-11,18,"STRAY","OVER THE COUNTER","ADOPTION","WALKIN","HEALTHY","HEALTHY","COUNTY","SANTA ROSA",95404,"95404
(38.458384, -122.675588)","Female"
"KINKY","CAT","DOMESTIC SH","BRN TABBY","Neutered","KITTN",2014-12-05,"K15-013442","LOBBY","A317558",2015-04-03,2015-04-04,1,"ADOPTION RETURN","OVER THE COUNTER","ADOPTION","INTERNET","HEALTHY","HEALTHY","COUNTY","OUT OF COUNTY",94558,"94558
(38.383156, -122.289164)","Male"
"","CAT","DOMESTIC SH","BLACK","Spayed","SMALL",NA,"K14-010169","CS06","A309894",2014-08-07,2014-08-09,2,"STRAY","COMM CAT","RETURN TO OWNER","COMMCAT","HEALTHY","HEALTHY","COUNTY","COUNTY",95472,"95472
(38.394388, -122.850998)","Female"
"BARNEY","DOG","COCKER SPAN","BLACK","Neutered","MED",2009-08-02,"K17-023888","DA02","A292539",2017-06-12,2017-07-21,39,"CONFISCATE","FLD_CORONR","TRANSFER","NC COCKER","TREATABLE/MANAGEABLE","TREATABLE/MANAGEABLE","SANTA ROSA","OUT OF COUNTY",95682,"95682
(38.642548, -120.961437)","Male"
"CHUCHE","DOG","SIBERIAN HUSKY","GRAY/WHITE","Neutered","MED",NA,"K16-018320","DQ118","A314834",2016-04-04,2016-04-14,10,"STRAY","FIELD","RETURN TO OWNER","FLD_PRVS","HEALTHY","HEALTHY","COUNTY","SANTA ROSA",95407,"95407
(38.403734, -122.736775)","Male"
"ROSCOE","DOG","FOX TERR SMOOTH/MIX","BROWN","Neutered","SMALL",2004-04-09,"K17-024117","DS69","A301252",2017-06-24,2017-06-27,3,"STRAY","FIELD","RETURN TO OWNER","OVER THE COUNTER_MCHIP","HEALTHY","HEALTHY","COUNTY","COUNTY",95407,"95407
(38.403734, -122.736775)","Male"
"*COYOTE","DOG","DACHSHUND/WELSH CORGI CAR","BROWN/BLACK","Female","SMALL",2007-09-30,"K15-015834","DS74","A326682",2015-09-06,2015-10-02,26,"STRAY","FIELD","EUTHANIZE","AGGRESSIVE","TREATABLE/MANAGEABLE","TREATABLE/MANAGEABLE","COUNTY",NA,NA,NA,"Male"
"","DOG","GERM SHEPHERD","BLACK","Unknown","SMALL",NA,"K14-009642","TRUCK","A308755",2014-07-03,2014-07-03,0,"CONFISCATE","FLD_ARREST","RETURN TO OWNER","FLD_IDTAG","HEALTHY","HEALTHY","SANTA ROSA",NA,NA,NA,"Male"
"BEAUREGARD","DOG","GREAT PYRENEES/CATAHOULA","BR BRINDLE","Neutered","PUPPY",2015-11-26,"K16-017597","DA07","A332414",2016-01-26,2016-02-06,11,"OWNER SURRENDER","OVER THE COUNTER","ADOPTION","WALKIN","HEALTHY","HEALTHY","COUNTY","SANTA ROSA",95401,"95401
(38.446019, -122.766748)","Male"
"*CYBER","DOG","GERM SHEPHERD/BORDER COLLIE","BLACK/WHITE","Neutered","LARGE",2014-04-06,"K15-016038","DA19","A327123",2015-09-18,2015-10-09,21,"STRAY","FIELD","TRANSFER","LCAS","HEALTHY","HEALTHY","COUNTY","OUT OF COUNTY",95453,"95453
(39.043586, -122.936436)","Male"
"","CAT","DOMESTIC SH","BLK SMOKE","Spayed","KITTN",2016-04-19,"K16-019614","CS06","A339306",2016-07-06,2016-07-19,13,"STRAY","COMM CAT","RETURN TO OWNER","COMMCAT","HEALTHY","HEALTHY","SANTA ROSA","SANTA ROSA",95403,"95403
(38.486997, -122.749134)","Female"
"MR. B","DOG","BORDER COLLIE","BROWN/WHITE","Neutered","MED",1999-12-17,"K16-019702","DQ108","A346338",2016-07-09,2016-07-12,3,"STRAY","OVER THE COUNTER","RETURN TO OWNER","OVER THE COUNTER_PRVS","TREATABLE/MANAGEABLE","HEALTHY","WINDSOR","WINDSOR",95492,"95492
(38.541541, -122.809202)","Male"
"KITTY CAT","DOG","PIT BULL","BLACK/WHITE","Female","MED",NA,"K17-024515","DS75","A355893",2017-07-22,2017-07-26,4,"STRAY","FIELD","RETURN TO OWNER","OVER THE COUNTER_PRVS","HEALTHY","HEALTHY","SANTA ROSA","SANTA ROSA",95404,"95404
(38.458384, -122.675588)","Male"
"*ROSIE","DOG","BOXER/PIT BULL","TAN/WHITE","Spayed","MED",2013-12-02,"K17-022097","DA07","A344691",2017-01-03,2017-01-06,3,"ADOPTION RETURN","OVER THE COUNTER","ADOPTION","INTERNET","HEALTHY","HEALTHY","SANTA ROSA","OUT OF COUNTY",94506,"94506
(37.807057, -121.912878)","Female"
"RUDY","CAT","DOMESTIC MH","GRAY TABBY","Neutered","SMALL",1995-12-31,"K15-017257","CI01","A331404",2015-12-29,2016-01-02,4,"STRAY","FIELD","EUTHANIZE","ILL SEVERE","TREATABLE/REHAB","UNTREATABLE","SANTA ROSA","SANTA ROSA",95404,"95404
(38.458384, -122.675588)","Male"
"BRISTAL","DOG","AMER BULLDOG/BOXER","BR BRINDLE","Spayed","LARGE",2013-06-15,"K16-018130","DA22","A334488",2016-03-18,2016-04-22,35,"OWNER SURRENDER","OVER THE COUNTER","ADOPTION","WALKIN","HEALTHY","HEALTHY","COUNTY","*PETALUMA",94954,"94954
(38.245316, -122.59871)","Female"
"DUNCAN","DOG","CHIHUAHUA SH","TRICOLOR","Neutered","SMALL",2003-05-31,"K17-023688","DS69","A353400",2017-05-30,2017-05-31,1,"CONFISCATE","FLD_HOSPTL","RETURN TO OWNER","OVER THE COUNTER_PRVS","HEALTHY","HEALTHY","SANTA ROSA","SANTA ROSA",95401,"95401
(38.446019, -122.766748)","Male"
"","CAT","DOMESTIC SH","BRN TABBY","Unknown","KITTN",2017-06-04,"K17-024702","CS06","A356499",2017-08-04,2017-08-08,4,"STRAY","OVER THE COUNTER","TRANSFER","FORGOTTEN","UNKNOWN","HEALTHY","SANTA ROSA","SANTA ROSA",95403,"95403
(38.486997, -122.749134)","Male"
"","CAT","DOMESTIC SH","BLACK","Neutered","SMALL",NA,"K16-019871","SMM","A339919",2016-07-20,2016-07-22,2,"STRAY","FIELD","EUTHANIZE","ILL SEVERE","UNTREATABLE","UNTREATABLE","SANTA ROSA",NA,NA,NA,"Male"
"ANGEL","DOG","AMER BULLDOG","WHITE","Female","LARGE",2013-01-05,"K16-017321","DS74","A331520",2016-01-02,2016-01-05,3,"CONFISCATE","FLD_ARREST","RETURN TO OWNER","OVER THE COUNTER_IDTAG","HEALTHY","HEALTHY","WINDSOR","OUT OF COUNTY",94541,"94541
(37.674148, -122.087822)","Male"
"GIGI","CAT","DOMESTIC SH","BRN TABBY","Spayed","KITTN",NA,"K16-020710","TX","A342292",2016-09-10,2016-11-12,63,"STRAY","OVER THE COUNTER","ADOPTION","WALKIN","TREATABLE/REHAB","HEALTHY","SANTA ROSA","SANTA ROSA",95403,"95403
(38.486997, -122.749134)","Female"
"","DOG","LHASA APSO","FAWN","Male","SMALL",2005-09-27,"K14-007330","DS68","A301451",2014-01-11,2014-01-18,7,"OWNER SURRENDER","FIELD","EUTHANIZE","AGGRESSIVE","UNTREATABLE","UNTREATABLE","SANTA ROSA",NA,NA,NA,"Male"
"BUSTER","CAT","DOMESTIC SH","BRN TABBY","Neutered","KITTN",2010-08-15,"K16-019201","CA02","A254193",2016-06-07,2016-06-08,1,"STRAY","OVER THE COUNTER","RETURN TO OWNER","OVER THE COUNTER_MCHIP","HEALTHY","HEALTHY","WINDSOR","WINDSOR",95492,"95492
(38.541541, -122.809202)","Male"
"CLAUDIA","DOG","ALASK MALAMUTE/MIX","BLACK/TAN","Spayed","MED",2012-02-07,"K15-012718","TRUCK","A316589",2015-02-07,2015-02-07,0,"STRAY","FIELD","RETURN TO OWNER","FLD_MCHIP","HEALTHY","HEALTHY","SANTA ROSA","SANTA ROSA",95409,"95409
(38.458965, -122.630156)","Female"
"","CAT","DOMESTIC SH","BRN TABBY","Unknown","KITTN",NA,"K16-020303","RECEIVING","A341082",2016-08-16,2016-08-16,0,"STRAY","OVER THE COUNTER","EUTHANIZE","ILL SEVERE","UNTREATABLE","UNTREATABLE","COUNTY",NA,NA,NA,"Male"
"SADIE","DOG","CHIHUAHUA SH","BROWN/BLACK","Spayed","PUPPY",2015-01-30,"K15-013076","FOSTER","A317735",2015-03-09,2015-04-16,38,"STRAY","FIELD","ADOPTION","REFERRAL","TREATABLE/REHAB","HEALTHY","COUNTY","COUNTY",95492,"95492
(38.541541, -122.809202)","Female"
"HERCULES","DOG","CHIHUAHUA SH","TAN","Neutered","SMALL",2011-04-15,"K16-021448","DA01","A344758",2016-11-03,2016-11-19,16,"STRAY","FIELD","RETURN TO OWNER","OVER THE COUNTER_WEB","HEALTHY","HEALTHY","WINDSOR","WINDSOR",95492,"95492
(38.541541, -122.809202)","Male"
"","DOG","PIT BULL","TAN","Female","MED",NA,"K15-014440","DI100","A322912",2015-06-14,2015-07-02,18,"STRAY","FIELD","EUTHANIZE","BEH SEVERE","TREATABLE/MANAGEABLE","TREATABLE/MANAGEABLE","COUNTY",NA,NA,NA,"Male"
"","CAT","DOMESTIC SH","BRN TABBY/WHITE","Male","KITTN",2017-09-11,"K17-025994","CA01","A362831",2017-10-23,2017-10-24,1,"STRAY","OVER THE COUNTER","TRANSFER","FORGOTTEN","UNKNOWN","HEALTHY","COUNTY","SANTA ROSA",95403,"95403
(38.486997, -122.749134)","Male"
"SAMANTHA","DOG","GERM SHEPHERD","BLACK/TAN","Spayed","LARGE",2013-05-02,"K16-021434","DS76","A344732",2016-11-02,2016-11-17,15,"OWNER SURRENDER","OVER THE COUNTER","EUTHANIZE","AGGRESSIVE","UNTREATABLE","UNTREATABLE","SANTA ROSA",NA,NA,NA,"Female"
"*RONALD","CAT","DOMESTIC SH","BLACK","Neutered","KITTN",2015-05-02,"K15-014712","LOBBY","A323920",2015-07-02,2015-07-11,9,"STRAY","OVER THE COUNTER","ADOPTION","WALKIN","HEALTHY","HEALTHY","WINDSOR","SANTA ROSA",95404,"95404
(38.458384, -122.675588)","Male"
"ELLIE","DOG","BEAGLE","TRICOLOR","Female","MED",NA,"K17-023161","TRUCK","A351206",2017-04-17,2017-04-17,0,"STRAY","FIELD","RETURN TO OWNER","FLD_MCHIP","HEALTHY","HEALTHY","COUNTY","COUNTY",95442,"95442
(38.371317, -122.520506)","Male"
"ZEKE","DOG","LABRADOR RETR","YELLOW","Male","LARGE",NA,"K15-013169","TRUCK","A318035",2015-03-16,2015-03-16,0,"STRAY","FIELD","RETURN TO OWNER","FLD_MCHIP","HEALTHY","HEALTHY","WINDSOR","WINDSOR",95492,"95492
(38.541541, -122.809202)","Male"
"LITTLE ONE","CAT","DOMESTIC MH","GRAY","Female","SMALL",2012-06-03,"K17-023772","CI01","A353533",2017-06-03,2017-06-13,10,"OWNER SURRENDER","OVER THE COUNTER","EUTHANIZE","ILL SEVERE","UNTREATABLE","UNTREATABLE","SANTA ROSA",NA,NA,NA,"Male"
"CHOCOLATE","DOG","CHIHUAHUA SH","CHOCOLATE","Male","TOY",2014-06-01,"K17-022856","PHLAB","A337757",2017-03-20,2017-03-29,9,"STRAY","VET_HOSP","EUTHANIZE","ILL SEVERE","UNTREATABLE","UNTREATABLE","COUNTY","COUNTY",95407,"95407
(38.403734, -122.736775)","Male"
"FLASHY","CAT","DOMESTIC LH","CALICO","Spayed","SMALL",2014-06-02,"K16-019120","CS05","A337894",2016-06-02,2016-07-23,51,"STRAY","OVER THE COUNTER","ADOPTION","WALKIN","TREATABLE/REHAB","HEALTHY","SANTA ROSA","SANTA ROSA",95404,"95404
(38.458384, -122.675588)","Female"
"SAMMY","DOG","CHIHUAHUA SH/MIX","CREAM","Neutered","SMALL",NA,"K15-013507","DS56","A319953",2015-04-08,2015-04-09,1,"STRAY","FIELD","RETURN TO OWNER","OVER THE COUNTER_PRVS","HEALTHY","HEALTHY","SANTA ROSA","SANTA ROSA",95401,"95401
(38.446019, -122.766748)","Male"
"","CAT","DOMESTIC SH","TORTIE","Female","KITTN",2017-10-10,"K17-026015","RECEIVING","A363654",2017-10-24,2017-10-24,0,"STRAY","OVER THE COUNTER","TRANSFER","HSSC","UNKNOWN","HEALTHY","SANTA ROSA","COUNTY",95407,"95407
(38.403734, -122.736775)","Male"
"CAPONE","DOG","PIT BULL","BLUE","Neutered","LARGE",2015-08-07,"K17-025095","DA39","A332605",2017-08-30,2017-10-05,36,"STRAY","FIELD","ADOPTION","SCAS WEB","TREATABLE/REHAB","TREATABLE/REHAB","COUNTY","*ROHNERT PARK",94928,"94928
(38.346718, -122.695947)","Male"
"*SUGAR","CAT","DOMESTIC SH","GRAY/WHITE","Spayed","SMALL",2013-02-14,"K14-007701","CS04","A302657",2014-02-13,2014-02-22,9,"STRAY","COMM CAT","ADOPTION","WALKIN","HEALTHY","HEALTHY","COUNTY","*HEALDSBURG",95448,"95448
(38.618857, -122.861927)","Female"
"PERCY","DOG","BULL TERRIER","WHITE","Neutered","MED",2010-07-27,"K15-012528","DS84","A263671",2015-01-24,2015-02-01,8,"OWNER SURRENDER","OVER THE COUNTER","EUTHANIZE","AGGRESSIVE","TREATABLE/MANAGEABLE","TREATABLE/MANAGEABLE","SANTA ROSA",NA,NA,NA,"Male"
"DARBY","DOG","FOX TERR WIRE","BROWN","Spayed","SMALL",2013-06-19,"K15-014339","DA08","A322726",2015-06-06,2015-06-20,14,"STRAY","FIELD","ADOPTION","REFERRAL","HEALTHY","HEALTHY","SANTA ROSA","WINDSOR",95492,"95492
(38.541541, -122.809202)","Female"
"","CAT","DOMESTIC SH","BRN TABBY/WHITE","Female","SMALL",NA,"K14-008677","RECEIVING","A306141",2014-05-02,2014-05-02,0,"TRANSFER","VET_HOSP","TRANSFER","RP SHELTER","TREATABLE/REHAB","TREATABLE/REHAB","COUNTY","*ROHNERT PARK",94928,"94928
(38.346718, -122.695947)","Male"
"","CAT","DOMESTIC SH","BLK TABBY","Female","KITTN",2017-05-10,"K17-023908","CA03","A353949",2017-06-13,2017-06-14,1,"STRAY","FIELD","TRANSFER","PETLUMA PP","TREATABLE/REHAB","TREATABLE/REHAB","COUNTY","COUNTY",94951,"94951
(38.314417, -122.656863)","Male"
"ZEUSSCHIN","DOG","AUST SHEPHERD","BROWN/TAN","Spayed","LARGE",2006-02-04,"K14-009912","DS61","A309280",2014-07-21,2014-07-24,3,"CONFISCATE","FLD_ARREST","RETURN TO OWNER","OVER THE COUNTER_NOTICE","HEALTHY","HEALTHY","WINDSOR","WINDSOR",94901,"94901
(37.973771, -122.51209)","Female"
"","DOG","CHIHUAHUA SH","TAN","Male","TOY",2013-07-16,"K14-009832","DS49","A309130",2014-07-16,2014-08-11,26,"STRAY","OVER THE COUNTER","EUTHANIZE","AGGRESSIVE","TREATABLE/MANAGEABLE","TREATABLE/MANAGEABLE","COUNTY",NA,NA,NA,"Male"
"LIMEY","DOG","IRISH SETTER","RED","Male","LARGE",2010-12-08,"K14-011998","TRUCK","A314710",2014-12-08,2014-12-08,0,"CONFISCATE","FLD_ARREST","RETURN TO OWNER","FLD_MCHIP","HEALTHY","HEALTHY","SANTA ROSA","COUNTY",94952,"94952
(38.236012, -122.730241)","Male"
"*ROSS","CAT","DOMESTIC SH","GRAY","Neutered","KITTN",2015-04-23,"K15-014380","WESTFARM","A322787",2015-06-09,2015-06-26,17,"STRAY","COMM CAT","ADOPTION","WESTFARM","HEALTHY","HEALTHY","COUNTY","SANTA ROSA",95401,"95401
(38.446019, -122.766748)","Male"
"ZEUS","DOG","SIBERIAN HUSKY/MIX","WHITE/SILVER","Neutered","MED",2015-06-26,"K16-018462","DA39","A335532",2016-04-14,2016-04-30,16,"STRAY","FIELD","ADOPTION","INTERNET","HEALTHY","HEALTHY","COUNTY","COUNTY",95404,"95404
(38.458384, -122.675588)","Male"
"*CHRIS","DOG","CHIHUAHUA SH","BLACK","Neutered","SMALL",2008-08-29,"K14-009431","DA05","A308223",2014-06-22,2014-08-29,68,"STRAY","FIELD","ADOPTION","WALKIN","HEALTHY","HEALTHY","WINDSOR","COUNTY",95492,"95492
(38.541541, -122.809202)","Male"
"","CAT","DOMESTIC SH","ORANGE/WHITE","Unknown","SMALL",NA,"K16-019785","RECEIVING","A339556",2016-07-13,2016-07-13,0,"STRAY","FIELD","EUTHANIZE","ILL SEVERE","UNTREATABLE","UNTREATABLE","SANTA ROSA",NA,NA,NA,"Male"
"*CHEVY","CAT","DOMESTIC SH","BLACK","Neutered","KITTN",2017-07-23,"K17-025493","LOBBY","A361703",2017-09-26,2017-10-05,9,"OWNER SURRENDER","OVER THE COUNTER","ADOPTION","WALKIN","HEALTHY","HEALTHY","COUNTY","SANTA ROSA",95403,"95403
(38.486997, -122.749134)","Male"
"DYLAN","DOG","BEAGLE/MIX","TRICOLOR","Neutered","SMALL",1998-05-15,"K14-008858","DS83","A306728",2014-05-15,2014-05-15,0,"STRAY","FIELD","RETURN TO OWNER","RETURN TO OWNER","HEALTHY","HEALTHY","SANTA ROSA","SANTA ROSA",95403,"95403
(38.486997, -122.749134)","Male"
"DAISY","DOG","GREAT PYRENEES/LABRADOR RETR","YELLOW","Spayed","LARGE",2013-03-29,"K15-016147","DA31","A327744",2015-09-26,2015-10-08,12,"STRAY","OVER THE COUNTER","ADOPTION","INTERNET","HEALTHY","HEALTHY","SANTA ROSA","SANTA ROSA",95403,"95403
(38.486997, -122.749134)","Female"
"","CAT","DOMESTIC MH","BLACK/WHITE","Unknown","SMALL",NA,"K15-017012","TX","A330233",2015-12-04,2015-12-04,0,"STRAY","FIELD","EUTHANIZE","FRA","UNTREATABLE","UNTREATABLE","SANTA ROSA",NA,NA,NA,"Male"
"","DOG","PIT BULL","BLUE/WHITE","Female","MED",2012-07-26,"K14-009985","DI104","A309427",2014-07-26,2014-08-11,16,"TRANSFER","VET_HOSP","EUTHANIZE","AGGRESSIVE","HEALTHY","TREATABLE/MANAGEABLE","COUNTY",NA,NA,NA,"Male"
"KEROK","DOG","CHIHUAHUA SH","UNKNOWN","Neutered","MED",2014-01-29,"K15-014079","DS95","A351700",2015-05-22,2015-06-03,12,"OWNER SURRENDER","OVER THE COUNTER","TRANSFER","GREEN DOG","HEALTHY","HEALTHY","WINDSOR","WINDSOR",95492,"95492
(38.541541, -122.809202)","Male"
"BUDDY","DOG","CHIHUAHUA SH","TAN/WHITE","Neutered","SMALL",2010-06-21,"K15-015100","DS95","A291971",2015-07-25,2015-07-28,3,"STRAY","OVER THE COUNTER","RETURN TO OWNER","OVER THE COUNTER_WEB","HEALTHY","HEALTHY","SANTA ROSA","SANTA ROSA",95407,"95407
(38.403734, -122.736775)","Male"
"SALLIE","DOG","AUST KELPIE/MIX","BROWN/WHITE","Spayed","PUPPY",2016-12-24,"K17-022469","DA02","A348029",2017-02-07,2017-03-10,31,"STRAY","OVER THE COUNTER","ADOPTION","INTERNET","TREATABLE/REHAB","HEALTHY","COUNTY","COUNTY",95407,"95407
(38.403734, -122.736775)","Female"
